beck_id beck_greek_name beck_english_name
DMM3116	γεράνιον	Cranesbill
DMM3117	γναφάλλιον	Cottonweed
DMM3118	τύφη	Reed mace
DMM3119	κιρκαία	Black swallow- wort
DMM3120	οἰνάνθη	Dropwort
DMM3121	κόνυζα	Fleabane
DMM3122	ἡμεροκαλλές	Martagon lily
DMM3123	λευκόϊον	Gillyflower
DMM3124	κραταιόγονον	Willow weed
DMM3125	φύλλον	Dog mercury
DMM3126	ὄρχις	Orchid
DMM3127	ὄρχις ἕτερος	Another orchid
DMM3128	σατύριον	Man orchis
DMM3129	ὅρμινον	Clary
DMM3130	ἡδύσαρον	Axweed
DMM3131	ὄνοσμα	Stone bugloss
DMM3132	νυμφαία	White water lily
DMM3133	ἀνδρόσακες	Sea navel
DMM3134	ἄσπληνος	Miltwaste
DMM3135	ἡμιονῖτις	Mule fern
DMM3136	ἀνθυλλίς	Anthyllis
DMM3137	ἀνθεμίς	Camomile
DMM3138	παρθένιον	Feverfew
DMM3139	βούφθαλμον	Oxeye
DMM3140	γλυκισίδη	Peony
DMM3141	λιθόσπερμον	Groomwell
DMM3142	φαληρίς	Canary grass
DMM3143	ἐρυθρόδανον ἢ ἐρευθέδανον	Madder
DMM3144	λογχῖτις	Lonchitis
DMM3145	λογχῖτις ἕτερα	Holy fern
DMM3146	ἀλθαία	Marsh mallow
DMM3147	ἀλκαία	Vervain mallow
DMM3148	κάνναβις	Hemp
DMM3149	ἀγρία κάνναβις	Hemp mallow
DMM3150	ἀνάγυρος	Stinking bean trefoil
DMM3151	κηπαία	Cepaia
DMM3152	ἄλισμα	Water plantain
DMM3153	ὀνοβρυχίς	Cock’s head
DMM3154	ὑπερικόν	St. John’s wort
***DMM3135 MISSING	ἄσκυρον	St. John’s wort
DMM3156	ἀνδρόσαιμον	St. John’s wort
DMM3157	κόρις	St. John’s wort
DMM3158	χαμαίπιτυς	Ground pine
DMM4001	κέστρον	Betony
DMM4002	βρεττανική	Water dock
DMM4003	λυσιμάχειος	Loosestrife
DMM4004	πολύγονον ἄρρεν	Knotgrass
DMM4005	πολύγονον θῆλυ	Mare’s tail
DMM4006	πολυγόνατον	P. officinale
DMM4007	κληματίς	Periwinkle
DMM4008	πολεμώνιον	Jacob’s ladder
DMM4009	σύμφυτον πετραῖον	Low pine
DMM4010	σύμφυτον ἄλλο	Comfrey
DMM4011	ὁλόστεον	Allbone
DMM4012	στοιβή	Thorny burnet
DMM4013	κλύμενον	Bearbind
DMM4014	περικλύμενον	Honeysuckle
DMM4015	τρίβολος χερσαῖος	Caltrops
DMM4016	λειμώνιον	Sea lavender
DMM4017	λαγώπουν	Hare’s foot trefoil
DMM4018	μήδιον	Medion
DMM4019	ἐπιμήδιον	Epimedion
DMM4020	ξίφιον	Corn flag
DMM4021	σπαργάνιον	Bur reed
DMM4022	ξυρίς	Gladwyn
DMM4023	ἄγχουσα	Alkanet
DMM4024	ἄγχουσα ἑτέρα	Another alkanet
DMM4025	ἄγχουσα ἄλλη	Another alkanet
DMM4026	λυκαψός	Viper’s herb
DMM4027	ἕχιον	Echion
DMM4028	ὠκιμοειδές	Catchfly
DMM4029	ἄγρωστις	Dogs-tooth grass
DMM4030	καλαμάγρωστις	Calamagrostis
DMM4031	ἡ δέ ἐν τῷ Παρνασσῷ ἄγρωστις	Grass of Parnassus
DMM4032	ἡ δέ ἐν Κιλικίᾳ γεννωμένη [ἄγρωστις]	Wall barley
DMM4033	σιδηρῖτις	Iron wo rt
DMM4034	ἄλλη σιδηρῖτις	Burnet
DMM4035	σιδηρῖτις ἑτέρα	Figwort
DMM4036	Ἀχίλλειος	Achilles woundwort
DMM4037	βάτος	Bramble
DMM4038	βάτος Ἰδαία	Raspberry
DMM4039	ἑλξίνη	Bindweed
DMM4040	ἐλατίνη	Cankerwort
DMM4041	Εὐπατόριος	Agrimony
DMM4042	πεντέφυλλον	Cinquefoil
DMM4043	φοῖνιξ	Rye grass
DMM4044	Ἰδαία ῥιζα	Idaia rhiza
DMM4045	Ῥοδία ῥίζα	Shodia rhiza
DMM4046	ἵππουρις	Horsetail
DMM4047	ἑτέρα ἵππουρις	Another horse tail
DMM4048	κόκκος βαφική	Kermes oak
DMM4049	τράγιον	Stinking tutsan
DMM4050	τράγιον ἄλλο	Pimpinell
DMM4051	τράγος	Tragos
DMM4052	σχοῖνος ἐλείας	Rush
DMM4053	λειχήν ὁ ἐπὶ τῶν πετρῶν	The lichen growing on stones
DMM4054	παρωνυχία	Paronychia
DMM4055	χρυσοκόμη	Immortelle
DMM4056	χρυσόγονον	Black turrnip
DMM4057	ἐλίχρυσον ἢ χρυσάνθεμον	Gold flower
DMM4058	ἀγήρατον	Pot marjoram
DMM4059	περιστέριον	Vervain
DMM4060	ἱερὰ βοτάνη	Holy vervain
DMM4061	ἀστράγαλος	Milk vetch
DMM4062	ὑάκινθος	Wild hyacinth
DMM4063	μήκων ῥοιάς	Corn poppy
DMM4064	μήκων	Opium poppy
DMM4065	μήκων κερατῖτις	Horned poppy
DMM4066	μήκων ἀφρώδης	Frothy poppy
DMM4067	ὑπήκοον	Horned cumin
DMM4068	ὑοσκύαμος	Henbane
DMM4069	ψύλλιον	Fleawort
DMM4070	στρύχνον κηπαῖον	Hound’s berry
DMM4071	ἕτερον στρύχνον	Another hound’s
DMM4072	στρύχνον ὑπνωτικόν	Sleepy nightshade
DMM4073	στρύχνον μανικόν	Thorn apple
DMM4074	δορύκνιον	Convulvulus oleaefolius Desr. Dorycnion
DMM4075	μανδραγόρας	Mandrake
DMM4076	ἀκόνιτον	Leopard’s bane
DMM4077	ἀκόνιτον ἕτερον	Wolfsbane
DMM4078	κώνειον	Hemlock
DMM4079	σμῖλαξ	Yew
DMM4080	ἀπόκυνον	Dogbane
DMM4081	νήριον	Oleander
DMM4082	μύκητες	Mushrooms
DMM4083	Κολχικόν	Meadow saffron
DMM4084	ἐφήμερον	Ephemeron
DMM4085	ἐλξίνη	Pellitory
DMM4086	ἀλσίνη	Lichwort
DMM4087	φακὸς ὁ ἐπὶ τῶν τελμάτων	Duckweed
DMM4088	ἀείζῳον μέγα	Houseleek
DMM4089	ἀείζῳον τὸ μικρόν	Houseleek
DMM4090	τρίτον εἶδος ἀείζῳον	Stonecrop
DMM4091	κοτυληδών	Navelwort
DMM4092	ἕτερον εἶδος κοτυληδόνος	Another kind of navelwort
DMM4093	ἀκαλήφη	Stinging nettle
DMM4094	γαλήοψις	Brownwort
DMM4095	γάλιον	Bedstraw
DMM4096	ἠριγέρων	Groundsel
DMM4097	θαλίητρον	Meadow
DMM4098	βρύον θαλάσσιον	Sea lettuce
DMM4099	φῦκος	Seaweed
DMM4100	ποταμογείτων	Pondweed
DMM4101	στρατιώτης ὁ ἐπὶ τῶν ὑδάτων	Water lettuce
DMM4102	στρατιώτης ὁ χιλιόφυλλος	Yarrow or Milfoil
