lusitanus_iiif	lusitanus_entry	lusitanus_chapter
273	De bulbo, qui edendo est (bulbus qui edendo est, bulbus cibalis, bulbus ascaloniae, cepa ascalonita / des eschallotes, des appetites)	Enarratio 166
274	De scilla (scilla, squila, cepa maris / stipoulle, ou charpentairie)	Enarratio 167
274	De pancratio (pancratium, scilla minor, scilla nigra)	Enarratio 168
274	De cappare (capparis, cappares / cappez)	Enarratio 169
275	De lepidio (lepidium, biberis, nasturtium sylvestre)	Enarratio 170
275	De batrachio (batrachion, ranunculus, apium risus herba scelerata / ramanculo herba)	Enarratio 171
276	De anemone (anemon, orci tunica, herba venti)	Enarratio 172
277	De argemonio (argemonium, agremonia, liburni herba)	Enarratio 173
277	De altera argemonia (argemonia altera, argemonium alterum, argentina herba, argentea herba)	Enarratio 174
277	De anagallide (anagallis, morsus gallinae, sanguis oculi herba / mouron)	Enarratio 175
278	De hedera (hedera / du liere)	Enarratio 176
279	De chelidonio maiori (chelidonium maius, chelidonia / chelidonie, ou esclere)	Enarratio 177
279	De chelidonio minori (chelidonium minus, chelidonia minor, hirundinaria minor, scrofularia minor / scrofularia minor)	Enarratio 178
280	De othonna (othonna)	Enarratio 179
280	De myos otide (myosotis, alsines, auricularia muris)	Enarratio 180
280	De altera myosotide (myosotis altera, aurcula muris, pilosela / orelge du ratte)	Enarratio 181
281	De isatide sativa (isatis sativa, glastum, guadum / le guade du guesde ou pastel). De isatide sylvestri (sylvestris isatis, glastum minus, guadum minus / le guasde sauvaige)	Enarratio 182
281	De telephio (telephium, portulaca sylvestris tertium sedi genus vermicularis herba)	Enarratio 183
283	In Dioscoridis Anazarbei librum tertium enarrationes doctoris Amati Lusitani medici praestantissimi. De agarico (agaricum)	Enarratio capitis primi
284	De rhapontico (rhaponticum, rhecoma, radix ponti)	Enarratio secundi capitis
287	De gentiana (gentiana / gentiane)	Enarratio 3
288	De aristolochia (aristolochia, malum terrae, erraticum malum / de la sarasine)	Enarratio 4
289	De glycyrrhiza (glycyrrhiza, dulcis radix, liquiritia / erculisse, ou rigolisse)	Enarratio 5
289	De centaurio maiore (centaurium maius, centaurea maior, rhaponticum officinarum, rheuponticum commune / rhepontico)	Enarratio 6
290	De centaurio minori (centaurium minus, centaurea minor, fel terrae, febrifuga / fiel de terre centore)	Enarratio 7
290	De chamaeleone albo (chamaeleon albus, carduus varius, carduus suarius, carduus Mariae, carduus Marianus / cardon mariano)	Enarratio 8
291	De chamaeleone nigro (chamaeleon niger, carduus niger, vennilagum)	Enarratio 9
292	De crocodilo (crocodilium)	Enarratio 10
292	De dipsaco (labrum veneris, cardo fullomum, virga pastoris, carduus veneris / cardon a carder, ou verge à bergier)	Enarratio 11
293	De spina alba (spina alba, bedeguar, cinara sylvestris, sylvestris carduus ferens alkachoflos / artichau saulvage)	Enarratio 12
293	De aegyptia, sive arabica spina (arabica spina, aegyptia spina, succhaba)	Enarratio 13
294	De scholymo (scolymus, carduus, strobilus, cinara, carduus pinea / artichaut)	Enarratio 14
295	De poterio (poterion, nevras)	Enarratio 15
295	De acanthio (acanthium)	Enarratio 16
295	De acantho (acanthos, acantha spina, marmora ria herba, branca ursina / branche ursine)	Enarratio 17
296	De sylvestri acantho (acanthus sylvestris, branca ursina sylvestris)	Enarratio 18
296	De ononide (ononis, anonis, resta bovis, remora aratri, acutella)	Enarratio 19
297	De leucacantha (leucacantha, alba spina, spina cervalis / merla)	Enarratio 20
