mm_id,chapter_key,berendes_term,beck_greek_lemma,wellmann_greek_lemma,matthiolo_greek,ratio_beck_wellmann,ratio_beck_matthiolo
MMK803,5.35,Rosenwein,ῥοδίτης,ῥοδίτης,Ῥοδίτης οἶνος,1.000,0.700
MMK804,5.36,Myrtenbeerenwein,μυρτίτης,μυρτίτης,Μυρτίτης οἶνος,1.000,0.727
MMK805,5.37,Myrtenwein,μυρσινίτης,μυρσινίτης,Μυρσινίτης οἶνος,1.000,0.769
MMK806,5.38,Mastixwein,σχίνινος,σχίνινος,Σχίνινος καὶ τερεμίνθινος οἶνος,1.000,0.410
MMK808,5.40,Dattelwein,φοινικίτης,φοινικίτης,Φοινικίτης οἶνος,1.000,0.769
MMK809,5.41,Feigenwein,ὁ τροχίτης,ὁ τροχίτης,Κατορχίτης οἶνος,1.000,0.538
MMK810,5.42,Sykomorenwein,ὁ ἐκ τῶν συκομόρων,ὁ ἐκ τῶν συκομόρων,Περἰ συκομορίτον οἵνον,1.000,0.500
MMK811,5.43,Geharzter Wein,ὁ ῥητινίτης,ὁ ῥητινίτης,Ῥητινίτης οἶνος,1.000,0.692
MMK812,5.44,Zirbelnusswein,6 στροβιλίτης,6 στροβιλίτης,Στροβιλίτης οἶνος,1.000,0.733
MMK813,5.45,Cedernwein,ὁ κέδρινος ἢ ἀρκεύθινος ἢ κυπαρίσσινος ἢ δάφνινος πιτύινος ἢ ἐλάτινος,ὁ κέδρινος ἢ ἀρκεύθινος ἢ κυπαρίσσινος ἢ δάφνινος πιτύινος ἢ ἐλάτινος,Κέδρινος καὶ ἐκ τίνων δένδρων καὶ καρπῶν οἶνος,1.000,0.278
MMK815,5.47,Cedernharzwein,κεδρίτης,κεδρίτης,Περἰ κεδρίτον,1.000,0.571
MMK816,5.48,Pechwein,οἶνος πισσίτης,οἶνος πισσίτης,Πισσίτης οἶνος,1.000,0.571
MMK817,5.49,Wermuthwein,ἀψινθίτης,ἀψινθίτης,Ἀψινθίτης οἶνος,1.000,0.750
MMK818,5.50,Hysopwein,ὑσσωπίτης,ὑσσωπίτης,Ὑσσοπίτης οἶνος,1.000,0.667
