edition,edition_entry_id,barbaro_page,barbaro_book,barbaro_chapter,barbaro_term
barbaro,row475,97,CCCCLXXIX,47,Moly
barbaro,row476,97,CCCCLXXX,47,Panaces Heraclion
barbaro,row477,97,CCCCLXXXI,47,Panaces Asclepion
barbaro,row478,97,CCCCLXXXII,47,Panaces Chironion
barbaro,row479,97,CCCCLXXXIII,47,Ligusticum
barbaro,row480,97,CCCCLXXXIIII,47,Staphylinos agrios
barbaro,row481,97,CCCCLXXXV,47,Seseli Massiliense
barbaro,row482,97,CCCCLXXXVI,47,Seseli Aethyopicum
barbaro,row483,97,CCCCLXXXVII,47,Seseli Peloponesiacum
barbaro,row484,97,CCCCLXXXVIII,47,Tordylon
barbaro,row485,98,CCCCLXXXIX,0,Sison
barbaro,row486,98,CCCCXC,0,Anisum
barbaro,row487,98,CCCCXCI,0,Caros
barbaro,row488,98,CCCCXCII,0,Anethum
barbaro,row489,98,CCCCXCIII,0,Cuminum sativum
barbaro,row490,98,CCCCXCIIII,0,Cuminum sylvestre
barbaro,row491,98,CCCCXCV,0,Aliud cuminum sylvestre
barbaro,row492,98,CCCCXCVI,0,Ammi
barbaro,row493,98,CCCCXCVII,0,Coriandrum
barbaro,row494,98,CCCCXCVIII,0,Hieracion maius
barbaro,row495,98,CCCCXCIX,0,Hieracion minus
barbaro,row496,98,D,0,Apium
barbaro,row497,98,DI,0,Eleoselinon
barbaro,row498,98,DII,0,Oreoselinon
barbaro,row499,98,DIII,0,Petroselinum
barbaro,row500,99,DIIII,48,Hipposelinon
barbaro,row501,99,DV,48,Smyrnium
barbaro,row502,99,DVI,48,Elaphoboscon
barbaro,row503,99,DVII,48,Foeniculus
barbaro,row504,99,DVIII,48,Hippomarathrum
barbaro,row505,99,DIX,48,Hippomarathrum aliud
barbaro,row506,99,DX,48,Daucus
barbaro,row507,99,DXI,48,Delphinium mais
barbaro,row508,99,DXII,48,Delphinium minus
barbaro,row509,99,DXIII,48,Pyrethrum
barbaro,row510,99,DXIIII,48,Libanotis
barbaro,row511,99,DXV,48,Libanotis coronaria
barbaro,row512,99,DXVI,48,Sphondylion
barbaro,row513,99,DXVII,48,Ferula
barbaro,row514,100,DXVIII,0,Peucedanum
barbaro,row515,100,DXIX,0,Melanthion
barbaro,row516,100,DXX,0,Silphion
barbaro,row517,101,DXXI,49,Magydaris
barbaro,row518,101,DXXII,49,Sagapenum
barbaro,row519,101,DXXIII,49,Euphorbium
barbaro,row520,101,DXXIIII,49,Galbanum
barbaro,row521,101,DXXV,49,Ammoniacum
barbaro,row522,101,DXXVI,49,Sarcocolla
barbaro,row523,101,DXXVII,49,Glaucion
barbaro,row524,101,DXXVIII,49,Glutinum
barbaro,row525,101,DXXIX,49,Ichthyocolla
