edition,edition_entry_id,dmm_id,greek_lemma,latin_lemma
beck,row403,DMM3088,ἰχθυκόλλα,Fish glue
beck,row404,DMM3089,ἰξός,Oak-mistletoe
beck,row405,DMM3090,ἀπαρίνη,Cleavers
beck,row406,DMM3091,ἄλυσσον,Madwort
beck,row407,DMM3092,ἀσκληπιάς,Swallowwort
beck,row408,DMM3093,ἀτρακτυλίς,Spindle thistle
beck,row409,DMM3094,πολύκνημον,Field basil
beck,row410,DMM3095,κλινοπόδιον,Horse thyme
beck,row411,DMM3096,λεοντοπέταλον,Leontopetalon
beck,row412,DMM3097,Τεύκριον,Tree germander
beck,row413,DMM3098,χαμαίρωψ,Wall germander
beck,row414,DMM3099,λευκάς,Dead nettle
beck,row415,DMM3100,λυχνὶς στεφανωματική,Rose campion
beck,row416,DMM3101,λυχνὶς ἀγρία,Corn cockle
beck,row417,DMM3102,κρίνον,Lily
beck,row418,DMM3103,βαλλωτή,Black horehound
beck,row419,DMM3104,μελισσόφυλλον,Balm
beck,row420,DMM3105,πράσιον,Horehound
beck,row421,DMM3106,στάχυς,Base horehound
beck,row422,DMM3107,φυλλῖτις,Hart’s tongue
beck,row423,DMM3108,φαλλάγγιον,Spiderwort
beck,row424,DMM3109,τρίφυλλον,Treacle clover
beck,row425,DMM3110,πόλιον,Hulwort
beck,row426,DMM3111,σκόρδιον,Garlic germander
beck,row427,DMM3112,βήχιον,Colt’s foot
beck,row428,DMM3113,ἀρτεμισία,Wormwood
beck,row429,DMM3114,ἀμβροσία,Ambrose
beck,row430,DMM3115,βότρυς,Oak of Jerusalem
beck,row431,DMM3116,γεράνιον,Cranesbill
beck,row432,DMM3117,γναφάλλιον,Cottonweed
beck,row433,DMM3118,τύφη,Reed mace
beck,row434,DMM3119,κιρκαία,Black swallow- wort
beck,row435,DMM3120,οἰνάνθη,Dropwort
beck,row436,DMM3121,κόνυζα,Fleabane
beck,row437,DMM3122,ἡμεροκαλλές,Martagon lily
beck,row438,DMM3123,λευκόϊον,Gillyflower
beck,row439,DMM3124,κραταιόγονον,Willow weed
beck,row440,DMM3125,φύλλον,Dog mercury
beck,row441,DMM3126,ὄρχις,Orchid
beck,row442,DMM3127,ὄρχις ἕτερος,Another orchid
beck,row443,DMM3128,σατύριον,Man orchis
beck,row444,DMM3129,ὅρμινον,Clary
beck,row445,DMM3130,ἡδύσαρον,Axweed
beck,row446,DMM3131,ὄνοσμα,Stone bugloss
beck,row447,DMM3132,νυμφαία,White water lily
beck,row448,DMM3133,ἀνδρόσακες,Sea navel
beck,row449,DMM3134,ἄσπληνος,Miltwaste
beck,row450,DMM3135,ἡμιονῖτις,Mule fern
beck,row451,DMM3136,ἀνθυλλίς,Anthyllis
beck,row452,DMM3137,ἀνθεμίς,Camomile
beck,row453,DMM3138,παρθένιον,Feverfew
beck,row454,DMM3139,βούφθαλμον,Oxeye
beck,row455,DMM3140,γλυκισίδη,Peony
beck,row456,DMM3141,λιθόσπερμον,Groomwell
beck,row457,DMM3142,φαληρίς,Canary grass
beck,row458,DMM3143,ἐρυθρόδανον ἢ ἐρευθέδανον,Madder
beck,row459,DMM3144,λογχῖτις,Lonchitis
beck,row460,DMM3145,λογχῖτις ἕτερα,Holy fern
